Publish,,,,,,,
Node,Subscription,Frequency,Size,History,Depth,Reliability,Durability
R1,heartbeat,1,20,keep_last,0,best_effort,volatile
R2-7,flight status,2,48,keep_lst,0,best_effort,volatile
R2-7,pose,10,56,keep_last,0,best_effort,volatile
R1,red pose,10,40,keep_last,0,best_effort,volatile
,,,,,,,
Subscribe,,,,,,,
Node,Subscription,History,Depth,Reliability,Durability,,
R2-7,heartbeat,keep_last,0,best_effort,volatile
R1,flight status,keep_last,0,best_effort,volatile
R1,pose,keep_last,0,best_effort,volatile
R2-7,red pose,keep_last,0,best_effort,volatile
